	sequences per sample	iteration	SAMPLE_112474	SAMPLE_112475	SAMPLE_112476	SAMPLE_112477	SAMPLE_112478	SAMPLE_112479	SAMPLE_112480	SAMPLE_112481	SAMPLE_112482	SAMPLE_112483	SAMPLE_112484	SAMPLE_112485	SAMPLE_112486	SAMPLE_112487	SAMPLE_112488	SAMPLE_112489	SAMPLE_112490	SAMPLE_112491	SAMPLE_112492	SAMPLE_112493	SAMPLE_112494	SAMPLE_112495	SAMPLE_112496	SAMPLE_112497	SAMPLE_112498	SAMPLE_112499	SAMPLE_112500	SAMPLE_112501	SAMPLE_112502	SAMPLE_112503	SAMPLE_112504	SAMPLE_112505	SAMPLE_112506	SAMPLE_112507	SAMPLE_112508	SAMPLE_112509	SAMPLE_112510	SAMPLE_112511	SAMPLE_112512	SAMPLE_112513	SAMPLE_112514	SAMPLE_112515	SAMPLE_112516	SAMPLE_112518	SAMPLE_112519	SAMPLE_112520	SAMPLE_112521	SAMPLE_112522	SAMPLE_112523	SAMPLE_112524	SAMPLE_112525	SAMPLE_112526	SAMPLE_112527	SAMPLE_112528	SAMPLE_112529	SAMPLE_112530	SAMPLE_112531	SAMPLE_112532	SAMPLE_112533	SAMPLE_112534	SAMPLE_112535	SAMPLE_112536	SAMPLE_112537	SAMPLE_112538
alpha_rarefaction_307_7.txt	307	7	15.41915	17.5079	19.96908	16.94399	18.42266	16.63957	16.95036	16.40316	15.28146	19.03388	17.68046	18.00943	15.35162	20.12894	18.07118	18.26764	19.02415	13.43862	17.11168	15.43273	17.3962	19.74358	17.38469	19.48024	14.3591	20.26114	11.99063	16.69098	17.01178	13.68357	14.21062	20.16008	10.78804	15.60249	9.35532	12.8902	11.93506	9.36651	18.1168	15.26446	9.90572	12.54221	7.22876	10.83306	9.57118	13.92539	9.44388	7.89992	10.4728	14.40531	11.38246	18.29873	16.41299	13.50041	15.0439	11.17296	12.70334	15.67627	17.30314	14.77965	17.02285	15.33042	9.72748	14.18616
alpha_rarefaction_307_8.txt	307	8	16.01673	17.28098	19.94472	18.21103	16.94172	16.22653	18.10318	15.42717	17.14335	19.78515	17.82623	17.87779	14.75816	17.61203	19.01568	18.26219	19.43539	13.37667	18.32781	14.43018	17.25082	18.5571	17.70553	18.69359	13.67585	19.38494	13.34395	17.03294	18.04748	16.71306	12.62066	19.45509	11.16026	16.09225	8.58039	10.72084	12.77493	8.32258	16.25245	14.75111	10.71829	9.60175	6.88065	11.59952	9.48664	13.25504	9.14826	9.66526	9.4598	14.0391	10.69255	19.77447	17.05001	11.67909	13.08608	10.90679	12.37344	15.67884	17.44685	15.48671	14.29089	14.37586	9.66766	13.25883
alpha_rarefaction_307_9.txt	307	9	15.78188	16.83088	19.8367	16.70345	15.59007	18.02674	18.0479	15.47056	17.45765	17.30123	16.58481	15.65608	15.04343	17.0645	17.64813	17.53114	19.0305	12.41949	16.61614	15.46606	18.61402	18.60378	15.28796	19.01887	16.2282	17.51013	12.43675	18.64062	18.48594	14.06693	13.62739	19.44114	10.44235	16.36553	7.74542	13.38051	12.858	9.0475	17.19358	16.08323	11.0479	12.64956	6.93106	10.2853	7.67482	14.23416	8.24393	9.72674	11.31515	14.0465	10.65924	19.30688	18.59523	14.48281	14.98886	9.46618	12.84245	15.80185	16.86996	15.05123	15.6057	15.96734	11.15068	12.90997
alpha_rarefaction_406_0.txt	406	0	17.81623	20.06737	22.34313	18.55666	18.22297	18.29942	21.64092	18.21014	17.09406	21.3468	20.03059	19.13083	14.9864	19.77334	19.33839	20.62887	21.88993	14.00612	20.95732	15.42192	20.41111	21.47437	19.55479	20.65005	15.63589	18.22931	14.04966	18.26567	17.43825	16.25693	14.76724	22.16809	14.00494	17.00537	10.9227	15.55398	16.45444	8.88159	18.19487	16.83097	12.54088	14.50237	8.67036	12.7818	9.06982	23.21663	9.77616	9.2439	11.2653	14.83559	12.65921	21.75052	21.20851	15.40399	15.60062	9.80478	12.49801	17.83813	21.08854	15.78261	18.28857	17.74592	11.42324	15.53341
alpha_rarefaction_406_1.txt	406	1	18.3616	20.92104	21.2383	19.08015	20.65521	20.65226	19.42272	19.19858	19.99926	19.95236	19.99989	17.67379	17.17634	19.69794	19.71501	20.03977	20.1684	13.49454	22.93594	16.35365	20.9261	20.58276	17.40805	20.12655	15.87267	19.17623	14.63271	17.64194	19.54449	19.29688	15.75275	20.8299	13.97286	18.12353	10.35686	14.05522	15.91602	7.89349	17.53057	17.64224	10.46792	12.44649	8.54387	11.51478	9.57561	16.89581	8.85592	8.67542	12.12544	15.65906	13.57557	20.146	20.55276	14.61949	16.03136	10.48262	14.37384	17.36602	19.17538	16.75958	17.53099	16.65598	10.60699	15.00505
alpha_rarefaction_406_2.txt	406	2	19.56806	20.81049	22.29739	17.9797	19.1554	21.14759	22.03038	16.78257	18.593	21.91428	20.21945	17.80542	16.4771	20.6161	19.51055	19.38083	20.84316	14.91661	19.10679	16.08601	19.72133	22.45054	19.74131	21.14528	14.78525	20.30073	13.73358	20.9968	17.28413	17.4012	14.84738	21.76454	13.37767	16.11237	9.08773	22.19729	15.35635	9.85652	18.46293	16.70942	12.27317	13.35382	8.91024	11.80864	8.82694	15.27696	9.16145	8.56141	11.34295	15.18884	12.53854	22.86098	21.10135	14.2965	15.95506	10.78652	12.79464	18.60582	20.07712	17.89604	15.9545	17.71305	11.4294	16.11192
alpha_rarefaction_406_3.txt	406	3	17.58003	20.86569	20.10032	19.06339	19.41256	19.12724	21.6407	16.56048	16.64234	22.45211	19.81231	17.28549	16.21442	19.66348	20.87663	20.39033	22.32596	14.53752	21.65564	14.99609	20.97142	21.53609	20.4479	21.81559	14.41757	20.68585	15.30346	18.3902	19.45083	18.47315	14.11024	22.18251	14.02344	17.98815	9.43969	14.23807	14.72526	9.27459	19.48554	26.04279	12.28809	13.56929	8.10076	12.11322	9.29342	16.31927	9.92812	8.56534	11.17355	14.48381	12.90701	22.12409	19.98731	15.83459	14.91828	12.02443	13.40944	18.51836	19.16364	18.75078	18.01121	18.12988	10.993	16.36498
alpha_rarefaction_406_4.txt	406	4	16.26948	20.32985	22.39205	19.36856	18.25287	18.45112	22.0996	16.41754	18.32514	22.32514	19.27604	17.68661	16.96032	19.28373	20.59806	21.83009	21.47684	15.68644	20.42492	16.91192	20.50459	22.12552	19.79696	20.88864	17.11646	20.22579	15.08737	18.55307	18.12038	15.40925	15.24291	21.87638	10.25858	17.73276	9.37191	12.98385	15.58382	8.86188	20.10747	26.17665	9.77471	14.49343	8.41487	11.53613	8.79671	23.43637	8.90587	9.76958	12.08917	15.59172	12.59489	21.70787	19.91473	16.36601	14.93041	10.16681	12.02309	17.95774	19.76948	19.26352	17.00513	15.83152	11.10687	14.23273
alpha_rarefaction_406_5.txt	406	5	17.14419	20.12289	20.97156	20.32618	20.39769	20.98936	21.35133	18.11916	18.58478	20.73198	19.48927	18.78243	19.63617	21.74719	19.60843	19.88041	21.59999	14.01779	19.58054	17.42422	20.18347	21.06436	18.72914	20.588	14.84141	20.12438	13.82502	18.27436	17.54651	16.72857	15.95709	21.45917	10.86213	16.50257	9.42415	14.52357	13.85679	10.77948	17.79521	25.21935	10.45595	14.07681	8.87761	12.74651	9.33683	15.0119	9.67012	9.64846	11.06008	16.43313	12.27521	22.12686	21.1094	15.06779	14.501	11.46952	13.85286	17.35223	20.13427	16.56113	17.66641	15.68406	11.51885	13.89666
alpha_rarefaction_406_6.txt	406	6	19.71394	19.23329	22.30529	19.70777	20.08702	20.56228	19.99067	17.27105	19.90532	22.17733	20.12015	19.83542	16.79081	20.02377	20.51361	18.56971	22.28985	15.50388	20.77339	16.67656	20.1246	21.5191	17.03833	19.06214	14.05638	20.23268	13.57958	19.2925	18.56283	17.59325	15.54905	23.31389	12.93404	16.87067	9.99953	12.31536	15.08644	8.74971	19.34999	17.21259	11.66886	14.09663	8.55568	10.28071	10.33182	14.68381	9.65273	8.92281	10.7988	14.90713	11.24513	22.63345	17.73271	15.61872	15.9709	12.26594	14.40048	16.79544	21.20487	16.38646	17.63314	17.5153	11.0383	15.98805
alpha_rarefaction_406_7.txt	406	7	16.58882	19.23807	21.64849	20.15523	19.70252	18.97594	21.93061	18.00315	19.6448	21.94961	18.96607	18.47652	17.20149	19.33363	18.90588	20.68758	22.56413	16.3225	20.44064	16.68203	19.22786	20.73667	18.24395	21.57466	15.69505	20.1033	14.67347	17.67381	17.95553	18.00206	16.78025	22.77694	12.55344	17.24421	9.07227	14.92678	13.76973	9.70153	19.09141	14.9557	11.64802	14.44071	8.18672	10.75928	8.66625	14.98502	8.58501	9.8063	10.4374	14.2467	13.31156	22.87787	20.52438	16.03416	14.38971	11.30437	13.16424	16.80667	19.7078	17.00636	16.46185	16.98791	10.59984	14.23673
alpha_rarefaction_406_8.txt	406	8	17.79753	20.434	21.49151	18.38374	19.55581	20.63813	21.42518	18.26079	18.14469	20.05348	21.15402	19.53312	15.82419	21.14755	20.9861	21.46776	22.26884	15.16982	18.93596	15.41963	23.03353	21.40075	19.90992	19.60187	15.4891	21.97198	14.11523	18.76238	17.03285	15.6835	14.5444	22.22924	12.42076	17.876	10.23122	23.06373	14.74214	9.26561	18.71884	16.96207	11.86013	13.75571	8.05425	9.91172	9.70966	15.85735	9.29237	10.0442	11.88589	17.30493	20.37032	22.13851	21.54756	15.31218	15.15618	10.80766	13.70766	18.33605	19.81384	15.94977	18.41332	14.54031	9.73745	15.96905
alpha_rarefaction_406_9.txt	406	9	17.83123	19.03524	22.9723	20.62535	19.76266	18.63632	19.70782	17.81368	18.2455	20.89134	21.04647	20.06672	17.20799	19.34562	18.72393	20.81934	22.85913	14.78166	19.79705	15.85889	20.93244	19.79381	18.27943	22.42766	25.0671	19.6915	12.81342	17.92274	18.29115	14.76859	15.71746	22.20083	12.40601	16.01283	10.41862	20.66771	13.62657	9.63999	20.7108	18.55701	10.37026	12.31806	8.48021	10.7243	10.08747	16.43624	10.07724	8.66871	12.37823	16.1361	22.63516	21.00649	21.54629	14.26682	16.4711	11.76161	13.06645	16.94913	20.72508	18.06638	16.8189	16.38088	11.0802	14.52171
alpha_rarefaction_505_0.txt	505	0	20.96371	21.20711	23.45979	22.0337	21.48621	20.15471	23.00907	18.03281	19.86169	25.13368	20.46328	22.11342	19.27719	21.45479	21.63252	20.6159	23.04622	16.70438	22.24947	16.4346	20.24664	21.95228	18.76689	22.264	17.03054	23.29186	13.60815	20.67036	19.49661	16.13678	15.96274	24.14645	15.61167	19.41912	9.72735	15.12439	15.43061	10.0908	20.36631	17.20768	12.84024	15.78954	8.00271	11.26042	10.03579	15.30223	9.71559	10.96825	12.4834	18.39947	11.69965	24.76124	22.72981	16.00227	17.99526	12.10713	14.25853	19.74921	20.23939	18.83453	19.22476	16.81317	11.73112	15.11357
alpha_rarefaction_505_1.txt	505	1	17.50064	21.88059	23.86494	21.07729	22.96778	20.26591	24.72914	20.02484	19.60821	23.32928	23.05957	20.28134	19.72695	23.05049	23.72045	23.6299	22.56779	16.23698	22.80626	18.54913	20.23313	23.46411	20.08279	23.62451	15.36046	19.43536	15.2092	21.01609	19.02364	18.84983	17.53764	24.05847	12.05106	17.26831	10.26897	15.91149	12.71831	10.6029	20.78217	18.66818	12.32787	13.83274	8.78669	11.97004	10.51694	25.49556	11.68363	9.7028	12.46663	16.34284	13.49539	23.03591	21.38282	25.46216	18.17065	11.57933	14.2478	18.78108	21.03823	18.42978	18.57708	17.67645	11.69294	15.83309
alpha_rarefaction_505_2.txt	505	2	20.23268	20.56886	22.90868	19.36211	22.34948	22.57953	23.46717	18.82486	20.86183	21.64681	20.67871	20.92703	18.05828	20.1766	20.86196	22.70179	23.28287	16.75863	23.24201	18.24088	22.61577	23.03602	21.39765	23.28535	16.69467	22.43233	14.73852	17.93341	20.03687	19.2835	16.52395	23.42055	14.40944	16.87966	9.09137	15.77172	15.29579	10.73225	21.82595	19.50881	12.66257	13.53435	9.28922	11.71713	8.98581	14.52633	9.3625	10.53949	14.74196	16.31637	15.18399	23.9063	23.03508	16.29199	17.62648	13.49526	15.63674	19.09322	21.88171	18.30433	18.53009	19.0941	11.98445	15.20962
alpha_rarefaction_505_3.txt	505	3	21.44062	22.50792	23.83551	22.17466	20.54387	20.89607	22.89778	19.16723	20.92871	26.22345	22.36301	22.35433	18.4015	22.82094	23.0718	20.4642	23.51521	17.09408	23.25993	19.19229	21.89359	23.27542	19.66709	22.30274	24.30526	21.66675	15.15443	18.41872	19.73235	17.63586	16.96521	24.17906	13.89609	17.16765	9.11483	14.64179	15.46096	9.95627	21.07572	26.89439	13.4205	13.98138	9.40342	12.19467	9.92458	15.50764	9.11045	9.48885	13.43756	18.19962	13.06893	24.56034	21.12735	16.37626	17.38131	11.13484	15.34779	18.98625	21.84861	18.03516	17.81707	16.49462	13.06966	16.56296
alpha_rarefaction_505_4.txt	505	4	20.74907	21.66953	23.18959	20.1385	20.76511	20.04651	22.63164	20.42495	24.86652	23.46508	22.71065	21.43872	17.83881	22.18372	20.57397	20.29037	23.43792	17.80423	21.1971	17.59452	20.69545	24.48046	19.96208	21.13896	15.63966	22.90251	14.89583	21.70712	19.34453	19.19464	16.60405	22.61204	12.57123	16.30041	9.83585	24.33617	15.89363	9.79258	21.04391	18.92154	12.42093	15.95235	9.18486	12.20618	9.03992	16.97428	10.9335	9.79126	12.51663	16.21089	14.32336	24.37501	21.9611	16.75878	17.8755	10.43956	13.60603	18.4668	20.54416	19.34795	17.77802	19.0464	12.29963	14.98159
alpha_rarefaction_505_5.txt	505	5	18.58056	21.2688	24.18302	23.66577	21.46501	21.66807	23.79351	18.38544	20.37386	23.69596	21.23088	22.10781	20.80428	22.95169	21.05448	22.32422	23.2001	17.59853	23.72585	18.89	21.82772	23.64455	19.03808	23.38258	23.92779	22.00842	14.62839	20.61509	20.62122	19.09505	16.0781	23.26688	13.90779	19.3033	9.10403	15.1629	15.45994	10.83283	20.78898	18.35504	11.62536	14.19196	8.45102	12.74673	9.73942	15.96825	10.26774	11.10678	12.70078	16.90823	13.51851	24.28458	21.6517	16.43243	18.2052	12.72552	12.14236	19.01659	21.83932	19.61949	18.65799	17.0203	12.90494	15.29762
alpha_rarefaction_505_6.txt	505	6	21.71093	20.23763	21.78136	18.95986	21.99657	20.84983	26.40534	21.11682	20.44079	22.56543	21.78684	21.03862	18.83987	20.94495	22.99039	22.37766	22.7836	17.18272	22.44023	18.39322	20.56233	23.88706	20.31188	23.02653	17.22125	23.16136	14.70147	21.67356	18.40341	18.30827	24.3585	22.84043	13.47088	19.15277	10.60134	15.3925	15.82246	9.94825	22.28065	19.45131	11.89761	14.49559	9.28496	12.54248	8.93509	15.76042	10.39592	10.33296	12.81745	24.93581	13.46264	24.64884	21.68991	16.97061	17.14469	11.48606	14.47521	18.14546	20.51575	19.2972	17.04648	17.41085	11.58057	16.33497
alpha_rarefaction_505_7.txt	505	7	18.03012	21.91775	24.01091	19.1515	21.90003	21.66453	23.96802	18.40609	20.78411	23.39186	21.00029	21.37408	18.28261	22.17192	20.17209	21.22832	25.78219	15.85191	23.71989	19.35948	23.56568	23.46515	28.00169	22.01711	17.72378	20.78543	15.6129	21.51861	21.71525	17.20364	17.22805	23.23811	12.58877	18.01163	11.43385	16.03571	15.39642	9.95641	18.495	19.14394	11.47836	13.93199	9.06539	12.60047	9.57973	15.33117	9.50424	10.05735	12.45906	17.96485	11.88684	25.62644	22.00294	16.00522	18.34026	9.59381	13.0785	19.24833	21.13439	21.06133	19.22562	18.17036	12.80705	15.43966
alpha_rarefaction_505_8.txt	505	8	19.34569	23.0885	25.39852	19.93034	21.00608	22.9901	25.46934	20.34285	19.80863	21.7379	22.13375	23.23284	19.42334	23.25222	22.4281	22.68196	23.6217	17.27317	21.68515	17.71224	22.79872	21.81656	20.52217	21.36226	16.4736	24.09676	14.48398	21.16639	18.59389	17.47702	16.19489	22.92741	14.47634	18.91156	10.27576	14.39968	15.05876	10.81976	20.74671	27.77539	13.33414	12.98179	8.30749	11.63935	8.57398	16.10367	10.24415	9.63519	13.1751	25.37193	14.66062	23.91485	20.88492	17.53542	19.07866	11.62222	15.51666	18.19178	20.17566	19.46615	17.53239	17.39377	12.98658	16.32233
alpha_rarefaction_505_9.txt	505	9	18.50899	22.61668	23.71308	21.65289	20.24967	23.19834	22.41237	18.38821	20.93842	24.02714	20.09577	21.42123	19.73859	21.53828	21.67097	21.77673	21.81969	17.44535	24.0127	16.69791	22.14638	23.1702	20.53381	21.89259	18.00301	23.2961	16.09708	19.92621	19.55738	18.81192	19.64774	24.01466	14.08811	17.86807	9.99919	26.88361	15.63439	11.37432	20.4188	18.12235	11.42642	14.97744	8.94313	11.81709	10.64828	17.44707	9.58243	10.40744	12.40119	15.20623	11.61929	22.70414	21.71715	17.52037	16.96272	12.72993	13.7851	18.52877	20.53837	20.26185	17.76874	18.64222	13.11749	15.73432
alpha_rarefaction_604_0.txt	604	0	20.57055	22.16884	25.57544	22.70114	22.60101	24.20572	23.03383	21.12322	21.35139	23.86222	21.5982	24.06479	19.12242	24.59685	22.4784	24.68414	26.83983	19.83411	22.62945	19.75841	24.26854	25.2846	22.56501	24.27913	26.4938	24.39109	18.13242	22.35575	22.95769	18.65377	19.02606	23.83625	15.59141	20.64712	10.81017	17.67274	15.69525	11.67486	21.11261	19.89471	12.10717	15.59526	8.56111	13.18402	10.97596	16.63908	10.87317	10.02478	14.76998	17.71985	14.84424	25.64487	23.37839	26.73877	20.8033	12.21533	15.41509	19.35346	21.59461	19.85989	21.04647	18.07307	13.7511	25.45287
alpha_rarefaction_604_1.txt	604	1	20.07201	23.98289	27.98864	22.31328	22.6541	22.40577	25.47983	19.25074	21.8202	25.78766	22.25749	21.94137	19.1864	23.86743	23.45284	24.6997	26.83818	18.79622	23.20386	19.82255	23.6118	23.59503	22.07559	22.8183	17.47215	24.26048	17.49328	23.14306	19.86538	20.5818	18.00167	26.83442	15.60182	17.88735	10.17303	14.97582	15.01375	9.94749	21.64996	19.71583	13.96018	14.92594	9.61166	12.60687	10.91023	17.80583	10.62801	10.94275	13.79033	19.43273	15.00414	25.70099	24.42199	25.97678	20.92706	12.92678	15.81694	20.75183	23.60932	19.8529	19.99439	19.20141	13.18804	15.84062
alpha_rarefaction_604_2.txt	604	2	22.43742	23.93216	26.17636	23.19265	23.262	23.66972	24.63344	19.97242	23.27799	25.56269	23.86775	23.44976	22.37716	25.73216	22.69046	22.82765	26.27197	16.91166	25.46113	19.00788	23.15103	22.75939	21.41475	24.67541	17.58194	22.59156	17.13411	21.78574	22.03387	19.87693	18.0948	26.64443	14.94017	19.24394	10.31242	16.38309	15.58273	11.41977	20.95505	20.26364	12.71227	14.75074	9.49697	11.20802	10.02125	17.61448	10.54805	10.80615	13.59317	27.2295	15.96744	25.85501	21.89769	17.34085	17.44907	11.4053	14.27393	20.6534	24.63426	20.01699	20.7957	19.56622	12.66732	17.44039
alpha_rarefaction_604_3.txt	604	3	19.71542	23.77104	25.43663	21.56563	24.21826	24.60148	23.50933	20.56746	22.89605	26.97579	21.50326	21.60818	19.59894	23.04292	23.93889	23.68983	25.39338	16.60406	25.78086	19.11601	25.12345	22.72753	21.57665	24.61508	19.28072	26.01946	15.39629	20.27599	20.99842	20.21102	18.16814	25.60323	13.26479	21.26924	18.86353	17.23696	18.12227	10.7362	22.49385	19.30608	13.21395	17.5768	9.66744	13.79677	10.44237	17.6873	8.62955	10.89262	12.9004	16.53568	13.93121	23.62369	25.16117	17.58991	19.80924	13.46623	15.47297	21.08349	23.07141	19.31956	19.20133	18.47186	12.39039	16.15873
alpha_rarefaction_604_4.txt	604	4	21.35862	23.16217	26.66383	23.71568	23.72867	22.22271	25.91308	19.83286	21.74099	23.77387	23.86673	23.03382	20.38373	24.48435	23.35582	22.45534	27.01886	18.53239	24.38582	20.32212	25.37506	25.02188	22.89455	23.83153	18.3968	25.07934	17.42046	21.76615	20.51559	19.50168	19.37066	24.42797	13.95636	18.52689	10.05835	17.84848	16.66881	10.15303	22.9678	19.1155	12.96367	15.97739	8.87001	13.02772	9.90717	27.54517	10.9044	9.93393	13.46754	18.64583	15.73341	25.25777	23.30395	19.02236	18.4793	13.41776	16.25621	20.06073	23.18189	22.33653	20.13628	19.08866	12.59895	15.79997
alpha_rarefaction_604_5.txt	604	5	20.51279	22.972	24.91544	22.18354	21.28909	24.15833	24.32759	21.66108	22.12081	25.92912	22.73587	22.89147	19.86366	23.77865	22.94613	23.25091	26.14854	16.75678	24.83033	18.61594	23.64886	24.81444	23.05615	23.75987	16.2733	23.62525	14.87496	20.77325	22.32843	19.50865	17.96095	24.47107	13.16746	18.2186	11.5612	16.9576	15.42826	11.22937	21.64119	20.36512	13.72661	15.47128	8.52997	11.39869	8.78205	18.00593	10.87525	10.79432	11.07243	18.25018	14.72364	23.58184	26.21455	17.46646	18.86355	12.87839	14.15542	20.54022	23.1085	20.96917	20.3332	21.40742	14.3629	18.52369
alpha_rarefaction_604_6.txt	604	6	20.67882	22.91527	25.15498	23.09097	22.63118	23.86501	25.80196	21.70041	22.15134	23.80627	22.55234	21.29233	19.47442	24.3927	22.57475	22.72753	26.59386	17.73216	24.10432	19.10725	23.59518	23.29312	20.91595	23.76297	18.28643	24.78437	17.13692	21.10387	21.09936	21.08502	18.19711	24.97989	15.13502	20.35796	11.30473	17.63837	14.68868	11.23257	21.69446	19.73028	13.24518	14.09943	9.394	11.83002	10.77888	26.99871	11.58814	9.67364	14.53054	18.4318	14.10474	26.93339	25.5024	17.61815	19.01553	12.06345	14.79898	20.29443	22.48566	20.93114	19.61592	18.53103	13.72654	16.61977
alpha_rarefaction_604_7.txt	604	7	20.18455	24.64446	27.59734	23.39856	21.67106	22.74117	24.9114	20.56509	22.04753	25.02146	23.47547	23.61504	22.12548	23.09503	24.02995	23.34077	26.22833	17.36765	23.16301	18.93503	23.77521	24.99613	20.89861	24.68716	18.56814	25.39583	16.56103	22.17254	21.341	20.28517	17.81487	24.02699	12.80979	18.70905	10.56141	16.99508	15.46257	10.8766	22.67586	19.87331	11.62336	16.96836	8.35459	11.80039	10.17096	17.58092	10.53213	9.02642	13.59186	18.68802	15.04486	26.61942	23.23302	16.84919	19.55082	13.20653	14.92682	20.2786	21.76545	20.41611	18.97698	21.58426	13.12664	14.82686
alpha_rarefaction_604_8.txt	604	8	19.80629	24.16128	24.61242	21.98778	22.64567	21.27794	23.47754	19.20279	22.93134	24.51013	22.05492	22.44442	21.793	24.58838	23.46842	24.09394	25.62896	19.02589	24.58085	18.9903	20.52881	24.83488	21.03192	23.49914	18.46029	23.75499	15.03385	21.46026	21.10773	19.21093	16.85056	25.61264	13.76764	21.22658	11.84339	18.69553	15.32482	11.03574	22.21754	21.52312	12.96618	15.36241	8.28483	12.2834	9.60195	17.42126	10.53369	10.05743	13.16518	26.23739	13.71918	24.47849	23.40207	17.48995	18.4639	12.60717	14.28435	18.89187	23.55853	20.09164	19.91149	19.78459	12.75634	17.30279
alpha_rarefaction_604_9.txt	604	9	20.09452	22.36638	25.57578	21.25243	23.67501	23.83127	23.71182	20.12062	23.09021	25.23131	21.56388	23.59761	20.97437	24.07677	23.70837	23.50721	26.81348	18.87716	23.08656	19.27207	23.50948	25.20662	20.40482	23.13541	18.89463	23.87669	18.60778	23.80632	19.75297	17.47908	18.57732	26.1936	15.64951	19.68524	10.57315	16.54194	15.00024	11.7827	20.94771	18.8131	13.28754	15.9799	8.91953	12.6103	10.73413	18.02156	10.48643	9.23255	14.19267	18.8931	14.37651	24.78585	25.23761	18.21361	18.78565	11.95407	14.48595	21.75145	22.20514	19.66887	19.92505	19.33915	12.81511	19.2306
alpha_rarefaction_703_0.txt	703	0	20.21847	24.21894	27.76018	24.398	26.03125	24.125	23.64029	21.26035	21.7729	26.42982	25.38149	22.99869	21.07513	26.04051	26.05036	22.85958	26.32545	19.51228	24.78685	20.51347	24.37646	25.9889	23.39041	24.89372	19.5468	25.27672	16.88372	23.08194	22.89417	20.57743	19.72603	25.44455	14.37764	19.52807	11.80706	27.05298	17.2798	10.50593	22.07567	21.63607	15.44224	16.44047	9.80226	12.32969	8.81464	19.34081	11.16362	10.94539	15.73084	20.68123	22.66658	26.23045	24.86698	19.89841	21.93979	14.63389	23.5906	21.43037	24.49963	22.32815	20.70698	19.84341	14.74407	18.27706
alpha_rarefaction_703_1.txt	703	1	21.24989	25.94801	26.53542	23.31871	24.61758	25.38125	27.48933	22.58729	24.36163	28.01897	26.16071	24.11089	20.70635	24.75973	22.76959	23.08724	27.88984	19.45111	24.72992	20.29541	26.93591	25.34753	23.9738	25.36839	19.07084	25.85471	15.92137	24.06635	21.33108	20.80309	19.4701	27.89698	15.00092	21.25267	10.93889	18.75842	16.81739	10.44949	24.04828	29.06241	13.14937	16.3959	9.44776	12.45884	9.62001	20.45267	11.14885	10.26466	15.32896	20.15797	15.49639	26.40906	25.59778	19.85056	21.52853	13.12249	19.48652	21.71565	24.43334	21.62108	19.17601	21.23662	12.91914	18.30656
alpha_rarefaction_703_2.txt	703	2	23.02667	24.17966	27.28225	24.14875	24.14041	21.7863	26.94403	21.76108	23.46487	25.99074	25.19081	23.81307	22.43132	23.84618	25.34395	24.93387	27.21239	17.66733	25.6663	20.24433	24.51102	24.72987	23.01137	25.56727	18.1252	25.28274	15.67589	22.89368	24.00623	22.50573	18.61049	26.89624	14.61783	19.21921	9.83191	27.50844	16.54219	10.69851	23.91792	21.65164	14.45948	16.15293	8.61503	12.97633	10.7956	17.94206	10.35419	11.93093	14.1202	18.22609	24.2358	25.61712	24.65009	20.35359	21.80883	13.91432	15.62027	22.3034	24.10986	21.98998	19.98504	21.56245	13.82782	18.74095
alpha_rarefaction_703_3.txt	703	3	19.8001	25.04104	27.67331	24.535	25.74697	24.7273	24.5851	22.75445	24.19383	27.47271	23.34941	25.41007	20.79057	25.21053	24.20232	23.36183	27.6509	18.15284	26.90763	20.92241	24.85932	26.05981	23.18905	24.30941	18.78704	27.28642	17.2124	23.45765	22.01036	21.02655	19.9605	26.21257	16.29967	20.03601	11.90708	18.988	16.88252	11.0868	22.92555	19.79394	14.87991	15.38077	9.11708	13.36324	10.31406	17.55815	11.67444	11.97118	15.06404	18.60324	25.12956	26.6878	25.56768	19.23583	19.35571	15.51432	16.51331	21.21714	24.40024	21.59394	20.52531	19.81783	12.2024	27.71303
alpha_rarefaction_703_4.txt	703	4	22.69421	23.10274	26.52356	23.15219	23.75024	22.45421	26.6929	21.87717	23.25601	25.59772	24.69429	23.51325	20.84361	26.24436	24.40085	25.3357	26.32662	17.82411	23.74168	20.17066	23.52396	24.74697	22.11896	23.84628	17.2915	25.39953	18.22056	21.49072	21.86221	20.47504	18.97151	27.23793	14.77666	19.53411	20.17269	18.80081	16.57495	11.24816	21.79053	21.56695	12.6499	15.07696	9.12951	12.70067	12.09366	19.07027	10.34612	10.25334	14.29301	17.86287	16.14689	25.37227	25.71048	27.16847	22.75034	12.65361	16.33187	21.6514	24.44117	21.471	21.39757	18.96041	14.82145	18.53184
alpha_rarefaction_703_5.txt	703	5	22.00223	25.61298	26.55735	22.27365	24.13612	24.11219	25.6728	22.10583	23.42801	27.20696	22.82126	23.46416	20.0365	25.20973	26.12083	25.11655	27.55385	17.58401	25.38837	20.65039	24.10854	24.8407	31.5622	25.61946	27.27493	23.55482	19.98727	23.40142	21.12984	19.88048	19.53087	26.60676	15.4611	18.77973	10.33158	25.67996	17.9195	11.67555	23.64015	19.06989	13.76675	17.44577	9.502	12.49661	10.89321	16.64158	12.05288	11.99707	15.66283	19.11328	24.81827	25.79003	23.93922	18.63395	20.23056	13.80939	16.78077	22.70454	23.27551	22.79234	20.25964	20.38339	14.61448	27.69356
