OTU	A0	B0	C0	D0	E0	G0	A1	B1	C1	D1	E1	F1	G1	A2	B2	C2	D2	E2	F2	B4	C4	E4	F4	G4	A8	B8	D8	E8	F8	G8	A16	B16	C16	D16	E16	F16	G16	C24	D24	E24	A36	C36	D36	E36	F36	G36
174	0	0	0	0	0	0	0	0	214	0	0	1	20	0	0	26	0	0	27	0	8	933	0	37	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	1	0	0
175	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
176	0	0	186	19	27	0	0	1	47	19	0	0	33	0	1	26	5	1	0	12	4	1	0	76	0	37	17	0	0	29	19	1	8	33	80	5	0	164	95	1	0	0	0	5	0	6
178	4	0	468	0	0	0	0	0	776	0	0	21	0	0	0	14	0	0	5	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0
179	0	0	78	0	0	201	0	0	840	0	0	0	30	0	0	90	0	0	0	0	0	1	0	34	0	0	0	4	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
182	0	0	0	0	0	1282	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	240	8	238	13	24	574	12	0	116	0	0	1	39	0	0	5	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	226	13	5	66	43	0	101	1	28	43	40	11	13	5	7	266	30	41	8	0	3	0	0	0	155	0	62	12	0	17	8	2	0	22	0	0	8	0	0	0	4	0	0	0	0	0
185	302	31	57	123	25	0	81	38	31	150	47	13	10	0	5	0	30	0	12	0	0	0	8	18	0	4	44	9	0	14	0	0	0	4	27	4	15	0	0	5	16	0	0	0	0	0
186	36	0	91	0	13	1075	0	0	18	24	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
193	0	0	339	0	0	676	1	7	22	0	0	0	41	0	0	8	0	0	0	0	0	1	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194	0	0	5	16	12	914	0	0	175	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
195	0	2	255	3	5	787	8	9	15	0	14	0	14	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
199	16	6	99	4	7	860	4	5	17	0	2	0	0	0	0	4	0	1	0	0	0	5	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
201	52	15	320	45	7	156	28	10	145	97	6	8	0	0	4	69	0	0	9	5	2	34	7	19	0	22	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
205	0	49	302	12	24	0	83	0	333	24	0	12	42	0	0	36	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0
206	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207	62	0	477	24	28	0	10	0	394	17	0	0	0	0	0	16	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	65	0	0	203	0	1	0	0	2	0	41	0	9
209	274	0	36	9	27	265	106	0	137	0	0	4	5	22	0	22	0	14	0	0	0	0	0	0	49	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	1	0	0	0
210	0	0	0	0	1	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
214	390	91	0	32	64	0	3	0	0	19	140	1	12	9	0	8	21	4	0	5	0	0	0	0	0	5	0	0	0	9	4	0	0	0	1	0	0	0	0	0	0	4	0	0	10	0
215	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	9	0
217	0	0	0	0	1	836	0	0	58	18	0	0	4	0	0	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220	0	0	0	0	0	804	4	1	4	0	0	0	1	0	1	8	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
221	56	4	338	0	5	366	0	0	107	0	2	0	4	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222	0	0	0	1	0	0	0	0	0	18	0	4	0	0	19	0	4	2	0	0	0	18	0	0	0	0	137	0	0	2	0	0	1	470	0	0	1	8	9	0	0	0	0	0	14	0
225	0	0	0	0	0	0	0	4	22	1	0	0	5	0	0	2	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	0	0	0
227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	854	0	0	0	0	0	0	0	0	5
229	0	0	0	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230	91	24	574	37	4	0	14	10	32	0	0	0	0	5	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
231	0	10	68	1	0	640	37	1	1	0	0	4	13	0	0	8	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
232	0	0	0	0	0	801	0	0	9	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
234	20	1	2	0	0	709	0	0	13	0	8	0	13	0	0	12	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235	29	26	0	25	7	0	117	21	47	5	16	23	3	6	6	245	6	3	3	0	0	52	1	0	0	6	6	0	1	0	0	0	8	2	2	8	20	12	0	0	1	0	4	2	0	2
236	20	565	0	0	8	0	0	151	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
238	62	20	3	54	43	8	32	51	79	29	34	24	35	2	11	152	0	3	18	0	4	5	2	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239	0	0	0	0	0	684	4	1	12	0	0	0	12	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
244	0	0	400	1	8	255	1	12	13	0	0	0	1	0	0	6	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
245	0	0	0	0	0	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
246	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	4	0	0	16	12	8	0	0	8	13	0	0	36	8	37	1	0	10	42	0	54	352	12	4
247	0	10	169	0	0	524	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
250	82	22	71	41	66	0	100	29	36	52	3	13	4	0	0	59	8	1	2	0	0	26	2	9	0	0	9	0	0	0	4	0	1	0	9	0	0	0	0	0	1	0	1	0	0	0
251	8	24	246	27	11	280	1	24	31	5	0	9	0	0	0	13	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
253	83	3	21	131	84	0	32	24	62	34	11	36	19	8	8	1	4	4	15	0	8	16	0	6	0	1	12	1	0	0	0	0	0	1	4	0	0	0	0	0	0	5	0	0	0	0
255	0	0	148	0	0	523	0	0	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
258	0	0	0	0	0	663	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	35	0	381	9	12	0	22	12	1	21	4	5	5	2	0	9	14	1	26	12	1	0	35	0	4	0	8	0	0	1	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0
261	339	40	0	58	4	0	20	38	4	67	16	0	26	8	6	12	0	5	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
262	0	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	40	4	0	0	0	2	3	0	0	2	4	36	0	0	474	0	2	0
264	36	0	0	5	0	0	3	5	0	8	0	0	0	0	0	19	1	0	12	0	0	0	0	12	0	15	4	0	0	5	0	0	8	2	0	4	21	0	0	0	4	0	0	0	14	0
265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	9	11	0	0	4	0	0	5	60	16	1	25	0	77	20	83	1	18	152	16	4
267	386	12	0	0	0	0	0	76	28	0	0	28	0	0	3	0	0	0	9	0	0	0	13	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270	0	80	0	0	0	0	145	197	0	2	3	11	0	20	31	0	0	1	4	8	0	19	0	0	0	0	5	0	0	0	4	1	0	8	0	0	0	0	0	0	21	0	0	0	0	0
271	0	0	0	0	0	631	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
272	0	0	125	0	0	471	0	9	5	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
273	0	0	0	18	4	339	13	17	0	9	2	32	0	0	16	17	0	0	26	1	1	1	2	0	0	56	0	0	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
275	12	4	400	9	4	155	1	0	2	1	1	0	0	2	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
276	0	0	0	42	0	0	0	0	50	0	0	263	0	0	0	0	0	5	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	14	0	0	0
277	0	0	38	0	4	559	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
278	0	0	0	0	0	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
279	234	20	0	119	80	0	0	0	0	57	0	2	0	0	13	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
281	0	4	78	2	6	470	0	0	4	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
282	0	0	0	0	0	574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284	0	0	51	6	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
286	108	8	294	8	9	29	23	2	54	2	4	3	0	0	0	5	0	8	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
288	0	4	18	0	5	525	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
292	0	19	369	9	17	0	12	1	70	0	8	0	9	0	0	24	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	8	0	0	0	17	0	0	26	0
294	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
296	85	10	199	12	23	145	0	0	55	2	0	8	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
303	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	175	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	24	0	0	29	44	0	64	10	16	45	15	72	24	1	4	0	8	15	15	1	1	0	4	0	18	1	0	0	4	1	0	0	0	8	0	0	57	0	0	0	0	0	0	0	0	0
306	26	70	0	0	17	0	14	105	0	44	0	146	6	1	3	6	0	0	69	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
307	0	0	0	1	4	506	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	0	0	10	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312	44	153	75	2	7	0	2	10	10	20	1	0	1	9	67	5	3	0	0	0	0	0	0	0	13	8	0	0	0	3	4	4	0	6	0	0	2	0	0	0	10	0	0	0	0	2
313	1	0	0	7	16	0	4	6	1	3	4	0	5	0	4	2	0	1	0	0	0	2	0	0	0	9	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	401	1	0
314	0	0	0	0	0	0	0	0	0	40	21	0	0	0	0	0	0	8	40	0	0	10	11	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
315	0	0	9	0	0	344	4	0	8	38	0	0	23	0	0	4	0	0	0	0	1	25	0	1	0	0	0	16	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0
316	0	0	85	4	0	357	0	6	14	0	0	0	7	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	12	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
317	0	0	0	0	0	479	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
319	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0
321	0	0	0	5	0	472	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322	27	0	207	8	40	0	28	7	42	41	2	1	8	5	5	1	0	1	10	0	0	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
323	0	0	419	0	0	0	4	0	17	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324	187	35	149	22	0	0	0	40	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
325	157	106	0	27	25	0	68	28	16	5	4	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
327	14	0	61	4	2	297	0	0	63	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
329	32	0	234	0	4	30	2	1	20	16	26	0	0	8	4	9	0	0	0	14	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
331	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	0	9	86	0	0	260	0	13	0	1	0	0	26	0	0	2	0	0	0	0	0	0	0	27	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
333	235	27	0	37	20	0	11	31	1	17	0	0	14	0	0	2	0	0	0	0	0	25	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
334	0	0	187	0	0	230	0	0	5	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
335	21	12	124	10	5	0	3	8	62	1	2	0	4	0	0	0	0	9	0	0	0	27	0	20	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	13	0	1	4	0	0	0
337	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	345	16	2	0	0	0	0	0	1	0	34	5	0	0	0	2	0	0	0	0	0	0	0
338	72	0	0	0	30	0	59	0	0	24	18	8	1	12	0	0	49	0	10	0	0	0	0	1	0	3	0	2	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
340	0	20	7	5	0	329	1	0	5	0	0	5	0	0	0	0	0	0	0	0	0	2	0	14	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0
347	0	0	323	0	0	0	0	8	48	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0
350	0	0	0	0	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
351	13	10	0	12	0	327	0	0	24	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	0	0	0	0	5	0	0	0	0	0	28	346	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	42	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
356	0	0	1	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
357	0	0	0	0	0	340	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
361	11	2	103	4	0	218	13	0	2	4	1	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	0	0	117	2	0	205	1	0	0	0	0	0	2	0	1	8	0	0	0	0	0	9	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	43	0	297	16	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
367	0	6	162	4	7	129	10	10	0	7	1	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
369	0	3	1	0	0	0	14	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	1	1	309	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0
370	80	0	42	62	7	66	5	9	32	5	8	0	0	0	0	5	0	0	4	0	0	12	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
371	0	5	260	0	0	0	8	4	29	4	0	0	0	0	0	3	0	0	0	0	0	6	0	16	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
375	0	10	141	2	9	81	12	1	54	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
379	36	0	0	2	0	0	2	0	22	0	4	0	0	1	4	0	11	10	1	0	0	120	40	0	0	0	0	0	0	6	0	0	0	20	16	12	10	0	0	0	0	0	1	0	0	0
380	12	0	160	0	0	146	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
381	0	0	0	3	1	0	0	1	6	1	0	2	1	1	2	4	0	1	1	2	0	3	1	1	0	1	0	0	15	0	0	1	0	1	1	0	0	0	266	1	0	0	0	0	1	0
382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
383	0	0	6	0	0	314	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
385	0	1	31	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387	179	0	0	17	22	0	41	0	21	2	13	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0	0	0
390	0	0	81	0	0	210	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394	4	0	21	0	0	264	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
395	0	88	0	0	0	130	0	38	0	0	0	5	18	0	14	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	1	0	0	0	0	0	0	0	0	0
396	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0
398	8	0	0	29	1	241	1	0	0	12	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0
402	13	0	0	12	13	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	0	1	0	0	0	250	5	8	0	0	5	0	10	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
407	2	0	0	1	0	0	0	0	19	9	0	1	0	0	0	1	1	0	8	2	0	147	0	17	0	11	4	0	24	4	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
409	2	0	39	1	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
410	43	0	115	1	41	0	12	0	58	0	2	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
411	1	14	253	2	0	2	0	4	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
414	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
417	0	0	0	2	4	168	6	4	4	1	1	2	3	0	2	7	4	1	2	0	0	4	0	1	0	2	0	2	1	0	0	2	0	0	2	0	1	0	0	6	2	0	1	1	2	0
418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	7	0	0	258	0	0	0
419	0	0	0	0	0	277	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
420	0	0	43	16	0	182	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
421	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	5	0	0	142	10	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5
